,mean,std,min,max
price,165.886719,130.363434,38.090454,690.380005
log_return_1,0.00026,0.011631,-0.142335,0.099863
simple_return_1,0.000328,0.011595,-0.132669,0.105019
ret_mean_5,0.000262,0.004995,-0.054875,0.032012
ret_std_5,0.009513,0.00689,0.000295,0.094962
mom_5,0.001623,0.024761,-0.239954,0.173581
ret_mean_10,0.00026,0.003484,-0.042006,0.017225
ret_std_10,0.009866,0.006294,0.001264,0.079274
mom_10,0.003203,0.034212,-0.342994,0.18798
ret_mean_20,0.000263,0.002446,-0.026074,0.01038
ret_std_20,0.010099,0.00586,0.002007,0.064418
mom_20,0.006456,0.047726,-0.406354,0.230725
ret_mean_60,0.000264,0.001338,-0.008532,0.00601
ret_std_60,0.010436,0.005206,0.003136,0.045395
mom_60,0.019172,0.080076,-0.400648,0.434205
rsi_14,53.601509,16.049379,3.989625,99.946167
macd_12_26,0.443672,2.390701,-21.614477,12.16115
macd_signal_9,0.442124,2.245082,-18.089586,9.633659
macd_hist,0.001549,0.732695,-6.379028,5.61085
volume,38685688.0,36582864.0,1200.0,507244288.0
volume_chg,3.176727,324.015869,-0.999909,33703.917969
volume_roll_mean_20,38709764.0,32647798.0,5707245.0,287356128.0
