split,train_start,train_end,test_start,test_end,train_days,test_days
split_001,2015-03-31,2017-03-29,2017-03-30,2017-06-28,504,63
split_002,2015-06-30,2017-06-28,2017-06-29,2017-09-27,504,63
split_003,2015-09-29,2017-09-27,2017-09-28,2017-12-27,504,63
split_004,2015-12-29,2017-12-27,2017-12-28,2018-03-29,504,63
split_005,2016-03-31,2018-03-29,2018-04-02,2018-06-28,504,63
split_006,2016-06-29,2018-06-28,2018-06-29,2018-09-27,504,63
split_007,2016-09-28,2018-09-27,2018-09-28,2018-12-28,504,63
split_008,2016-12-28,2018-12-28,2018-12-31,2019-04-01,504,63
split_009,2017-03-30,2019-04-01,2019-04-02,2019-07-01,504,63
split_010,2017-06-29,2019-07-01,2019-07-02,2019-09-30,504,63
split_011,2017-09-28,2019-09-30,2019-10-01,2019-12-30,504,63
split_012,2017-12-28,2019-12-30,2019-12-31,2020-03-31,504,63
split_013,2018-04-02,2020-03-31,2020-04-01,2020-06-30,504,63
split_014,2018-06-29,2020-06-30,2020-07-01,2020-09-29,504,63
split_015,2018-09-28,2020-09-29,2020-09-30,2020-12-29,504,63
split_016,2018-12-31,2020-12-29,2020-12-30,2021-03-31,504,63
split_017,2019-04-02,2021-03-31,2021-04-01,2021-06-30,504,63
split_018,2019-07-02,2021-06-30,2021-07-01,2021-09-29,504,63
split_019,2019-10-01,2021-09-29,2021-09-30,2021-12-29,504,63
split_020,2019-12-31,2021-12-29,2021-12-30,2022-03-30,504,63
split_021,2020-04-01,2022-03-30,2022-03-31,2022-06-30,504,63
split_022,2020-07-01,2022-06-30,2022-07-01,2022-09-29,504,63
split_023,2020-09-30,2022-09-29,2022-09-30,2022-12-29,504,63
split_024,2020-12-30,2022-12-29,2022-12-30,2023-03-31,504,63
split_025,2021-04-01,2023-03-31,2023-04-03,2023-07-03,504,63
split_026,2021-07-01,2023-07-03,2023-07-05,2023-10-02,504,63
split_027,2021-09-30,2023-10-02,2023-10-03,2024-01-02,504,63
split_028,2021-12-30,2024-01-02,2024-01-03,2024-04-03,504,63
split_029,2022-03-31,2024-04-03,2024-04-04,2024-07-03,504,63
split_030,2022-07-01,2024-07-03,2024-07-05,2024-10-02,504,63
split_031,2022-09-30,2024-10-02,2024-10-03,2025-01-02,504,63
split_032,2022-12-30,2025-01-02,2025-01-03,2025-04-04,504,63
split_033,2023-04-03,2025-04-04,2025-04-07,2025-07-08,504,63
split_034,2023-07-05,2025-07-08,2025-07-09,2025-10-06,504,63
