split,net_ann_return_black_litterman,net_ann_return_markowitz,net_max_drawdown_black_litterman,net_max_drawdown_markowitz,net_sharpe_black_litterman,net_sharpe_markowitz,net_sortino_black_litterman,net_sortino_markowitz,tc_total_black_litterman,tc_total_markowitz,turnover_total_black_litterman,turnover_total_markowitz
split_001_2015-03-31_2017-06-28,0.158203,0.175331,-0.013551,-0.009153,2.624585,3.526831,4.053733,5.717854,0.001677,0.001193,1.67662,1.19332
split_002_2015-06-30_2017-09-27,0.060579,0.057251,-0.013969,-0.008742,1.222281,1.17192,1.64099,1.579156,0.001296,0.001124,1.296195,1.1235
split_003_2015-09-29_2017-12-27,0.220028,0.230023,-0.01097,-0.011887,4.368393,4.69051,7.843844,7.997495,0.001287,0.001152,1.287254,1.15246
split_004_2015-12-29_2018-03-29,-0.110345,-0.094191,-0.087351,-0.082033,-0.671516,-0.635641,-0.83843,-0.799405,0.001421,0.001323,1.421014,1.3226
split_005_2016-03-31_2018-06-28,0.147108,0.169702,-0.023566,-0.024592,1.433986,1.643298,2.02184,2.322563,0.001257,0.001467,1.25656,1.46736
split_006_2016-06-29_2018-09-27,0.21054,0.198867,-0.018613,-0.017964,2.617709,2.488529,4.073866,3.825791,0.001377,0.001708,1.37698,1.70824
split_007_2016-09-28_2018-12-28,-0.444202,-0.394786,-0.171129,-0.14994,-2.767358,-2.639364,-3.522874,-3.368862,0.001895,0.001657,1.89532,1.65658
split_008_2016-12-28_2019-04-01,0.401137,0.424019,-0.01496,-0.011507,5.751123,6.256876,10.677467,12.339235,0.001405,0.001168,1.404774,1.1675
split_009_2017-03-30_2019-07-01,0.169576,0.194438,-0.017795,-0.015223,2.658709,3.159882,4.253225,5.222929,0.001471,0.001259,1.47052,1.25854
split_010_2017-06-29_2019-09-30,0.20882,0.221439,-0.033579,-0.035641,2.547587,2.633086,3.777726,3.894942,0.001206,0.001116,1.2056,1.11586
split_011_2017-09-28_2019-12-30,0.046288,0.047377,-0.026542,-0.026454,0.64465,0.658607,0.955847,0.977907,0.001063,0.00104,1.06278,1.04026
split_012_2017-12-28_2020-03-31,0.183686,0.196699,-0.152872,-0.14916,0.883382,0.938606,1.137519,1.213771,0.001216,0.001092,1.21604,1.09234
split_013_2018-04-02_2020-06-30,0.331721,0.357392,-0.031644,-0.030127,2.748783,2.836358,4.783652,5.070233,0.00109,0.001,1.0899,1.0
split_014_2018-06-29_2020-09-29,0.138927,0.161262,-0.037625,-0.041544,1.676062,1.842505,2.323302,2.571267,0.001142,0.001,1.1419,1.0
