split,model,train_start,train_end,test_start,test_end,n_reb,turnover_total,tc_total,net_ann_return,net_ann_vol,net_sharpe,net_sortino,net_cumulative_return,net_max_drawdown
split_001_2015-03-31_2017-06-28,markowitz,2015-03-31,2017-03-29,2017-03-30,2017-06-28,3,1.19332,0.0011933199999999999,0.17533068127644325,0.046117360978055216,3.526831148862529,5.717854057015349,0.04121404648725724,-0.009152772717476054
split_001_2015-03-31_2017-06-28,black_litterman,2015-03-31,2017-03-29,2017-03-30,2017-06-28,3,1.67662,0.00167662,0.15820282875382508,0.05657580580156381,2.624585373435472,4.053733439088229,0.037399789002376504,-0.013550599758229809
split_002_2015-06-30_2017-09-27,markowitz,2015-06-30,2017-06-28,2017-06-29,2017-09-27,3,1.1235,0.0011235,0.057251396437266955,0.04849980901390581,1.1719198062577838,1.5791556272104048,0.014015437637294514,-0.008742496728897042
split_002_2015-06-30_2017-09-27,black_litterman,2015-06-30,2017-06-28,2017-06-29,2017-09-27,3,1.2961945881205754,0.0012961945881205755,0.060578733569511156,0.04909645623666322,1.2222812229234459,1.6409899712542333,0.014812314476716937,-0.013968537830028938
split_003_2015-09-29_2017-12-27,markowitz,2015-09-29,2017-09-27,2017-09-28,2017-12-27,3,1.15246,0.0011524600000000001,0.23002276127856858,0.044363149866524766,4.690509883241132,7.997494504517557,0.053121033960643604,-0.011886998238730961
split_003_2015-09-29_2017-12-27,black_litterman,2015-09-29,2017-09-27,2017-09-28,2017-12-27,3,1.2872535826641733,0.0012872535826641733,0.22002773463080638,0.045779402446319006,4.368393055982563,7.843843624448805,0.050975097956573734,-0.01097006588614935
split_004_2015-12-29_2018-03-29,markowitz,2015-12-29,2017-12-27,2017-12-28,2018-03-29,3,1.3226,0.0013226,-0.09419067854411567,0.14028641482727433,-0.635641339706623,-0.7994049115291315,-0.024428293574366045,-0.08203326474896533
split_004_2015-12-29_2018-03-29,black_litterman,2015-12-29,2017-12-27,2017-12-28,2018-03-29,3,1.4210138098619014,0.0014210138098619013,-0.1103448312405042,0.15610322351577552,-0.6715156387131825,-0.8384302936246265,-0.02880726150385793,-0.08735078790464701
split_005_2016-03-31_2018-06-28,markowitz,2016-03-31,2018-03-29,2018-04-02,2018-06-28,3,1.46736,0.00146736,0.1697024314999369,0.09831738207593323,1.643297535032565,2.3225631902744928,0.03996529884624467,-0.024591780119381013
split_005_2016-03-31_2018-06-28,black_litterman,2016-03-31,2018-03-29,2018-04-02,2018-06-28,3,1.256559595599658,0.0012565595955996581,0.14710756110617362,0.09911147320466254,1.4339859144665852,2.021840268041978,0.03490631161882174,-0.023565695152952038
split_006_2016-06-29_2018-09-27,markowitz,2016-06-29,2018-06-28,2018-06-29,2018-09-27,3,1.70824,0.00170824,0.1988668946958725,0.07399450697441454,2.488528654121979,3.8257913318024688,0.04638797939250772,-0.017963558221456122
split_006_2016-06-29_2018-09-27,black_litterman,2016-06-29,2018-06-28,2018-06-29,2018-09-27,3,1.3769800000000003,0.0013769800000000003,0.21053955629571353,0.07404842557851106,2.617708682097035,4.073866430875872,0.04892574833843355,-0.018613400570622773
split_007_2016-09-28_2018-12-28,markowitz,2016-09-28,2018-09-27,2018-09-28,2018-12-28,3,1.65658,0.00165658,-0.39478586312149866,0.1837715196403722,-2.6393639280814796,-3.368861793708449,-0.11798237005942147,-0.1499400574279931
split_007_2016-09-28_2018-12-28,black_litterman,2016-09-28,2018-09-27,2018-09-28,2018-12-28,3,1.89532,0.00189532,-0.4442024666092116,0.20455035199561183,-2.7673578982333513,-3.5228744758772823,-0.13656598486338367,-0.17112879564422945
split_008_2016-12-28_2019-04-01,markowitz,2016-12-28,2018-12-28,2018-12-31,2019-04-01,3,1.1675,0.0011675,0.42401907637180236,0.05678808287324307,6.256876009584658,12.339234658650744,0.09239310882359564,-0.011507429478164855
split_008_2016-12-28_2019-04-01,black_litterman,2016-12-28,2018-12-28,2018-12-31,2019-04-01,3,1.4047736932630674,0.0014047736932630674,0.40113723487772823,0.058983288371518526,5.75112257549611,10.677467189489157,0.08797813788439357,-0.014959952024694245
split_009_2017-03-30_2019-07-01,markowitz,2017-03-30,2019-04-01,2019-04-02,2019-07-01,3,1.25854,0.00125854,0.19443782877477722,0.0567497424079443,3.1598816672186043,5.2229287283071155,0.045420199762904456,-0.015223289053152178
split_009_2017-03-30_2019-07-01,black_litterman,2017-03-30,2019-04-01,2019-04-02,2019-07-01,3,1.47052,0.0014705200000000001,0.16957576319004253,0.05959177916085604,2.6587085323764716,4.253225312408534,0.03993714296808859,-0.01779460619728712
