split,model,mae,rmse,direction_acc,pred_real_corr,n_test_rows,n_features,n_epochs_trained
split_001_2015-03-31_2017-06-28,dnn_only,0.016426024958491325,0.02259630337357521,0.503968253968254,0.028164360097346925,252,25,40
split_002_2015-06-30_2017-09-27,dnn_only,0.014912573620676994,0.019375551491975784,0.5595238095238095,0.011022816602611306,252,25,40
split_003_2015-09-29_2017-12-27,dnn_only,0.03385994955897331,0.04302212968468666,0.5317460317460317,0.07918787420169075,252,25,40
split_004_2015-12-29_2018-03-29,dnn_only,0.06914826482534409,0.09671139717102051,0.49603174603174605,0.06739816444491033,252,25,40
split_005_2016-03-31_2018-06-28,dnn_only,0.01702168956398964,0.023124556988477707,0.5357142857142857,0.07781109549390482,252,25,40
split_006_2016-06-29_2018-09-27,dnn_only,0.042189210653305054,0.05418483167886734,0.48412698412698413,-0.17407988557665643,252,25,40
split_007_2016-09-28_2018-12-28,dnn_only,0.034909214824438095,0.04624777287244797,0.4722222222222222,0.01566575751169821,252,25,40
split_008_2016-12-28_2019-04-01,dnn_only,0.02933485247194767,0.04177822545170784,0.503968253968254,0.04037281000550025,252,25,40
split_009_2017-03-30_2019-07-01,dnn_only,0.024217011407017708,0.031237175688147545,0.5436507936507936,0.05950865459409836,252,25,40
split_010_2017-06-29_2019-09-30,dnn_only,4.671598434448242,73.55513763427734,0.4880952380952381,-0.09381032761417303,252,25,40
split_011_2017-09-28_2019-12-30,dnn_only,0.03488580510020256,0.04418833926320076,0.39285714285714285,-0.12676800158870294,252,25,40
split_012_2017-12-28_2020-03-31,dnn_only,0.0710119977593422,0.11822770535945892,0.4365079365079365,-0.16066680095650143,252,25,40
split_013_2018-04-02_2020-06-30,dnn_only,0.1443486511707306,0.18469467759132385,0.5,-0.01818734766784208,252,25,40
split_014_2018-06-29_2020-09-29,dnn_only,0.017986146733164787,0.02454766258597374,0.5396825396825397,0.12347611092851754,252,25,40
split_015_2018-09-28_2020-12-29,dnn_only,0.0241008922457695,0.032569266855716705,0.4246031746031746,-0.08638618949382607,252,25,40
split_016_2018-12-31_2021-03-31,dnn_only,0.023264355957508087,0.03114761970937252,0.5079365079365079,0.058565270106590336,252,25,40
split_017_2019-04-02_2021-06-30,dnn_only,0.01712496392428875,0.022600194439291954,0.5476190476190477,-0.03972653429749482,252,25,40
split_018_2019-07-02_2021-09-29,dnn_only,0.03139815106987953,0.03967323526740074,0.4642857142857143,0.007928751843605478,252,25,40
split_019_2019-10-01_2021-12-29,dnn_only,0.03915034234523773,0.05024130269885063,0.4722222222222222,0.015254459237789307,252,25,40
split_020_2019-12-31_2022-03-30,dnn_only,0.023149902001023293,0.03228352591395378,0.5119047619047619,-0.02721479615815477,252,25,40
split_021_2020-04-01_2022-06-30,dnn_only,0.05549408122897148,0.06979124248027802,0.4365079365079365,-0.09296965203318189,252,25,40
split_022_2020-07-01_2022-09-29,dnn_only,0.038635071367025375,0.05083825811743736,0.47619047619047616,-0.08592704956715186,252,25,40
split_023_2020-09-30_2022-12-29,dnn_only,0.05810244008898735,0.07625748217105865,0.5,-0.09690701314366895,252,25,40
split_024_2020-12-30_2023-03-31,dnn_only,0.04359335079789162,0.053680505603551865,0.5515873015873016,-0.01804751172014789,252,25,40
split_025_2021-04-01_2023-07-03,dnn_only,0.04998163506388664,0.0618399977684021,0.4642857142857143,-0.08936566013524659,252,25,40
split_026_2021-07-01_2023-10-02,dnn_only,0.029542166739702225,0.03695935010910034,0.5158730158730159,0.0595867458550439,252,25,40
split_027_2021-09-30_2024-01-02,dnn_only,0.04345991089940071,0.05441633239388466,0.5079365079365079,-0.05235701718845521,252,25,40
split_028_2021-12-30_2024-04-03,dnn_only,0.02805210091173649,0.03719836473464966,0.49603174603174605,-0.03058661125213057,252,25,40
split_029_2022-03-31_2024-07-03,dnn_only,0.038485608994960785,0.04997524246573448,0.4801587301587302,-0.007435806390445129,252,25,40
split_030_2022-07-01_2024-10-02,dnn_only,0.028324387967586517,0.038824621587991714,0.46825396825396826,-0.06041358847015926,252,25,40
split_031_2022-09-30_2025-01-02,dnn_only,0.04238809645175934,0.05498751252889633,0.44047619047619047,-0.04341833392338618,252,25,40
split_032_2022-12-30_2025-04-04,dnn_only,0.03044644556939602,0.039199911057949066,0.5476190476190477,0.010091019369765464,252,25,40
split_033_2023-04-03_2025-07-08,dnn_only,0.10756003856658936,0.1459178328514099,0.43253968253968256,0.02548496200041664,252,25,40
split_034_2023-07-05_2025-10-06,dnn_only,0.014490539208054543,0.021928003057837486,0.49603174603174605,-0.04983476177661956,252,25,40
