split,model,n_train_records,n_test_records,n_assets,n_features_per_asset,ppo_total_timesteps,monitor_episodes,reward_scale,downside_penalty,transaction_cost_rate
split_001_2015-03-31_2017-06-28,dnn_rl,24,3,4,21,5000,210,100.0,1.0,0.001
split_002_2015-06-30_2017-09-27,dnn_rl,24,3,4,21,5000,210,100.0,1.0,0.001
split_003_2015-09-29_2017-12-27,dnn_rl,24,3,4,21,5000,210,100.0,1.0,0.001
split_004_2015-12-29_2018-03-29,dnn_rl,24,3,4,21,5000,210,100.0,1.0,0.001
split_005_2016-03-31_2018-06-28,dnn_rl,24,3,4,21,5000,210,100.0,1.0,0.001
split_006_2016-06-29_2018-09-27,dnn_rl,24,3,4,21,5000,210,100.0,1.0,0.001
split_007_2016-09-28_2018-12-28,dnn_rl,24,3,4,21,5000,210,100.0,1.0,0.001
split_008_2016-12-28_2019-04-01,dnn_rl,24,3,4,21,5000,210,100.0,1.0,0.001
split_009_2017-03-30_2019-07-01,dnn_rl,24,3,4,21,5000,210,100.0,1.0,0.001
split_010_2017-06-29_2019-09-30,dnn_rl,24,3,4,21,5000,210,100.0,1.0,0.001
split_011_2017-09-28_2019-12-30,dnn_rl,24,3,4,21,5000,210,100.0,1.0,0.001
split_012_2017-12-28_2020-03-31,dnn_rl,24,3,4,21,5000,210,100.0,1.0,0.001
split_013_2018-04-02_2020-06-30,dnn_rl,24,3,4,21,5000,210,100.0,1.0,0.001
split_014_2018-06-29_2020-09-29,dnn_rl,24,3,4,21,5000,210,100.0,1.0,0.001
split_015_2018-09-28_2020-12-29,dnn_rl,24,3,4,21,5000,210,100.0,1.0,0.001
split_016_2018-12-31_2021-03-31,dnn_rl,24,3,4,21,5000,210,100.0,1.0,0.001
split_017_2019-04-02_2021-06-30,dnn_rl,24,3,4,21,5000,210,100.0,1.0,0.001
split_018_2019-07-02_2021-09-29,dnn_rl,24,3,4,21,5000,210,100.0,1.0,0.001
split_019_2019-10-01_2021-12-29,dnn_rl,24,3,4,21,5000,210,100.0,1.0,0.001
split_020_2019-12-31_2022-03-30,dnn_rl,24,3,4,21,5000,210,100.0,1.0,0.001
split_021_2020-04-01_2022-06-30,dnn_rl,24,3,4,21,5000,210,100.0,1.0,0.001
split_022_2020-07-01_2022-09-29,dnn_rl,24,3,4,21,5000,210,100.0,1.0,0.001
split_023_2020-09-30_2022-12-29,dnn_rl,24,3,4,21,5000,210,100.0,1.0,0.001
split_024_2020-12-30_2023-03-31,dnn_rl,24,3,4,21,5000,210,100.0,1.0,0.001
split_025_2021-04-01_2023-07-03,dnn_rl,24,3,4,21,5000,210,100.0,1.0,0.001
split_026_2021-07-01_2023-10-02,dnn_rl,24,3,4,21,5000,210,100.0,1.0,0.001
split_027_2021-09-30_2024-01-02,dnn_rl,24,3,4,21,5000,210,100.0,1.0,0.001
split_028_2021-12-30_2024-04-03,dnn_rl,24,3,4,21,5000,210,100.0,1.0,0.001
split_029_2022-03-31_2024-07-03,dnn_rl,24,3,4,21,5000,210,100.0,1.0,0.001
split_030_2022-07-01_2024-10-02,dnn_rl,24,3,4,21,5000,210,100.0,1.0,0.001
split_031_2022-09-30_2025-01-02,dnn_rl,24,3,4,21,5000,210,100.0,1.0,0.001
split_032_2022-12-30_2025-04-04,dnn_rl,24,3,4,21,5000,210,100.0,1.0,0.001
split_033_2023-04-03_2025-07-08,dnn_rl,24,3,4,21,5000,210,100.0,1.0,0.001
split_034_2023-07-05_2025-10-06,dnn_rl,24,3,4,21,5000,210,100.0,1.0,0.001
