#{"t_start": 1773781992.765944, "env_id": "None"}
r,l,t
-1.423987,24,0.080557
-5.798547,24,0.170467
-0.706984,24,0.343047
-5.359274,24,0.442292
11.366954,24,0.534874
7.59464,24,0.664952
-5.378901,24,0.77636
7.404185,24,0.869871
-5.350314,24,1.000459
-3.257908,24,1.092764
-17.52159,24,1.203494
-1.878287,24,1.282681
-5.264535,24,1.354182
-8.524143,24,1.534884
-1.763063,24,1.624998
0.809022,24,1.696006
2.41155,24,1.796641
-6.894949,24,1.887741
1.825585,24,2.036159
-4.278192,24,2.137524
-0.878551,24,2.241065
-2.244774,24,2.370762
3.49436,24,2.449553
-14.93555,24,2.529133
8.441495,24,2.65559
-8.483871,24,2.747602
0.509526,24,2.867868
-3.96901,24,2.993851
-4.309073,24,3.108827
-0.636584,24,3.356363
-3.820733,24,3.613709
7.574631,24,3.765649
1.542719,24,5.639872
-8.275103,24,5.765202
3.937949,24,5.923978
4.967973,24,6.034887
-3.595295,24,6.157143
-8.710528,24,6.329599
10.268525,24,6.439893
-10.102828,24,6.514371
-0.645679,24,6.665013
6.156864,24,6.741658
-4.075207,24,6.881877
1.145852,24,6.976933
7.50552,24,7.05974
2.880719,24,7.181907
6.23339,24,7.266034
1.084565,24,7.357574
5.086092,24,7.494172
9.332979,24,7.581385
-8.21184,24,7.704301
17.360413,24,7.781027
11.208537,24,7.878512
1.932622,24,8.001361
9.548112,24,8.07249
5.036735,24,8.159531
6.408731,24,8.288923
7.298697,24,8.378839
17.689911,24,8.513886
4.8053,24,8.607168
2.592701,24,8.683232
10.07958,24,8.806505
2.791214,24,8.87689
8.117883,24,8.959714
12.248278,24,9.086215
2.060021,24,9.17771
20.294595,24,9.29559
10.572042,24,9.387758
21.388554,24,9.481185
9.140939,24,9.616473
16.45865,24,9.744488
12.03326,24,9.947914
16.39531,24,10.095121
12.874673,24,10.191104
12.028988,24,10.312358
12.471503,24,10.399718
18.973419,24,10.499203
15.140519,24,10.628137
10.981144,24,10.724776
26.995488,24,10.804169
4.330987,24,10.930016
20.299504,24,11.04764
3.535769,24,11.155148
15.322319,24,11.26419
10.789332,24,11.341789
13.204061,24,11.4735
11.230865,24,11.580097
19.9745,24,11.6856
25.209471,24,11.835224
10.061918,24,11.932282
14.800691,24,12.076
20.782658,24,12.188833
19.106936,24,12.288963
26.804737,24,12.443812
26.981919,24,12.554598
16.255874,24,12.643374
27.688501,24,12.779806
25.287736,24,12.89313
26.046179,24,13.043427
18.786922,24,13.15377
24.273623,24,13.247023
26.595574,24,13.409247
25.042859,24,13.531583
23.796345,24,13.616353
21.676343,24,13.747803
21.627703,24,13.83721
32.090403,24,13.969757
27.377196,24,14.075812
26.575194,24,14.163595
26.207194,24,14.306817
29.111915,24,14.41405
20.037608,24,14.501033
36.421034,24,14.657902
20.512067,24,14.772936
23.191654,24,14.924461
28.594023,24,15.058031
30.030525,24,15.146561
22.827024,24,15.313448
18.342342,24,15.417967
28.445121,24,15.50822
26.425799,24,15.669683
25.052432,24,15.759961
29.544533,24,15.911156
27.330623,24,16.028075
22.15765,24,16.126233
29.74635,24,16.278875
28.05272,24,16.387113
29.079213,24,16.480116
25.132759,24,16.658169
28.94437,24,16.76981
25.821168,24,16.949589
25.407431,24,17.079408
27.819211,24,17.175736
28.106789,24,17.366827
30.521081,24,17.542102
23.969373,24,17.654217
31.973565,24,17.844541
22.67237,24,17.96476
30.279705,24,18.107515
29.026884,24,18.331621
31.275517,24,18.594703
28.865302,24,20.392801
24.596083,24,20.550939
32.042164,24,20.65356
31.270465,24,20.827162
35.512842,24,20.953759
20.105642,24,21.120685
30.553527,24,21.252
31.308073,24,21.381261
33.778889,24,21.572004
33.481897,24,21.69932
29.478328,24,21.794181
33.731962,24,21.948023
29.189347,24,22.060914
29.242098,24,22.218914
30.598634,24,22.316544
30.928855,24,22.430505
31.714545,24,22.593463
28.195068,24,22.7117
33.021981,24,22.814236
35.725858,24,22.987554
25.70577,24,23.093526
31.829634,24,23.250844
32.098757,24,23.338217
36.325746,24,23.464461
33.281525,24,23.652383
30.826493,24,23.757236
27.585891,24,23.857983
34.340674,24,24.007471
31.090481,24,24.11413
31.689748,24,24.255435
37.247803,24,24.357891
34.750217,24,24.470549
29.140005,24,24.623946
31.270252,24,24.738488
26.72867,24,24.85218
34.396549,24,25.034568
30.425912,24,25.146082
35.425987,24,25.301654
35.325506,24,25.431984
33.32976,24,25.549149
30.643414,24,25.719409
35.15683,24,25.871366
35.723619,24,25.959938
32.163408,24,26.126142
35.693864,24,26.241724
34.873753,24,26.373554
27.183987,24,26.495975
31.818477,24,26.59877
32.534981,24,26.747556
29.368038,24,26.850851
35.232179,24,26.94592
28.423066,24,27.108849
33.359348,24,27.228189
28.644588,24,27.382644
31.071808,24,27.505374
34.959327,24,27.608941
37.814956,24,27.756595
35.098139,24,27.86422
34.931266,24,27.968367
32.161083,24,28.13343
30.348741,24,28.241024
33.245143,24,28.389754
33.744236,24,28.509486
34.911184,24,28.607396
31.192495,24,28.755759
33.934011,24,28.890051
33.700457,24,28.983498
31.252141,24,29.134266
26.939388,24,29.246334
