feature,feature_label,mean_abs_shap,split,rank
log_return_1,1-day log return,0.008333071426346006,split_001_2015-03-31_2017-06-28,1
macd_12_26,"MACD (12, 26)",0.00827754348033485,split_001_2015-03-31_2017-06-28,2
mom_20,20-day momentum,0.0074883267557761275,split_001_2015-03-31_2017-06-28,3
ret_std_60,60-day return volatility,0.006242272859580684,split_001_2015-03-31_2017-06-28,4
ret_std_10,10-day return volatility,0.006220389797840465,split_001_2015-03-31_2017-06-28,5
rsi_14,14-day RSI,0.005297828957518805,split_001_2015-03-31_2017-06-28,6
ret_mean_10,10-day average return,0.005217360623045209,split_001_2015-03-31_2017-06-28,7
simple_return_1,1-day simple return,0.005213386879021084,split_001_2015-03-31_2017-06-28,8
ret_std_5,5-day return volatility,0.00500297972486114,split_001_2015-03-31_2017-06-28,9
ret_std_20,20-day return volatility,0.004489927032649996,split_001_2015-03-31_2017-06-28,10
mom_10,10-day momentum,0.004327920908756575,split_001_2015-03-31_2017-06-28,11
volume_chg,Volume change,0.004112700568238182,split_001_2015-03-31_2017-06-28,12
ret_mean_60,60-day average return,0.003940911940250869,split_001_2015-03-31_2017-06-28,13
volume,Trading volume,0.003673104213275042,split_001_2015-03-31_2017-06-28,14
volume_roll_mean_20,20-day average volume,0.0033843046304272402,split_001_2015-03-31_2017-06-28,15
mom_60,60-day momentum,0.0032765964292426936,split_001_2015-03-31_2017-06-28,16
mom_5,5-day momentum,0.0027235450299052683,split_001_2015-03-31_2017-06-28,17
macd_hist,MACD histogram,0.0026562427752004855,split_001_2015-03-31_2017-06-28,18
ret_mean_5,5-day average return,0.002543254405778002,split_001_2015-03-31_2017-06-28,19
ret_mean_20,20-day average return,0.0024941101224868352,split_001_2015-03-31_2017-06-28,20
macd_signal_9,MACD signal (9),0.0023154781761976747,split_001_2015-03-31_2017-06-28,21
ticker_SPY,Asset indicator: SPY,0.002061326873685596,split_001_2015-03-31_2017-06-28,22
ticker_EFA,Asset indicator: EFA,0.0018969851479528751,split_001_2015-03-31_2017-06-28,23
ticker_TLT,Asset indicator: TLT,0.0018632896484452115,split_001_2015-03-31_2017-06-28,24
ticker_IWM,Asset indicator: IWM,0.0014578818992943953,split_001_2015-03-31_2017-06-28,25
ret_std_20,20-day return volatility,0.011552281028224436,split_002_2015-06-30_2017-09-27,1
ret_mean_10,10-day average return,0.007949176346778213,split_002_2015-06-30_2017-09-27,2
rsi_14,14-day RSI,0.0077512592543792485,split_002_2015-06-30_2017-09-27,3
mom_60,60-day momentum,0.005682621332511428,split_002_2015-06-30_2017-09-27,4
macd_hist,MACD histogram,0.00539292461445391,split_002_2015-06-30_2017-09-27,5
ret_std_10,10-day return volatility,0.004803909259833029,split_002_2015-06-30_2017-09-27,6
ticker_TLT,Asset indicator: TLT,0.004397683839446561,split_002_2015-06-30_2017-09-27,7
volume_roll_mean_20,20-day average volume,0.004251625157863958,split_002_2015-06-30_2017-09-27,8
volume_chg,Volume change,0.0038755550584952648,split_002_2015-06-30_2017-09-27,9
mom_5,5-day momentum,0.003687856771074487,split_002_2015-06-30_2017-09-27,10
ret_std_60,60-day return volatility,0.0036616327733561952,split_002_2015-06-30_2017-09-27,11
ret_std_5,5-day return volatility,0.0035657866205018184,split_002_2015-06-30_2017-09-27,12
mom_10,10-day momentum,0.0032924178049441133,split_002_2015-06-30_2017-09-27,13
mom_20,20-day momentum,0.0030733825959807707,split_002_2015-06-30_2017-09-27,14
simple_return_1,1-day simple return,0.003036068179992936,split_002_2015-06-30_2017-09-27,15
log_return_1,1-day log return,0.0029447651509666474,split_002_2015-06-30_2017-09-27,16
ret_mean_5,5-day average return,0.002832261000522805,split_002_2015-06-30_2017-09-27,17
macd_12_26,"MACD (12, 26)",0.002755398584354896,split_002_2015-06-30_2017-09-27,18
ticker_IWM,Asset indicator: IWM,0.0026936421228561276,split_002_2015-06-30_2017-09-27,19
macd_signal_9,MACD signal (9),0.0026689751277265967,split_002_2015-06-30_2017-09-27,20
volume,Trading volume,0.002661290481988604,split_002_2015-06-30_2017-09-27,21
ret_mean_60,60-day average return,0.0026119001786802805,split_002_2015-06-30_2017-09-27,22
ret_mean_20,20-day average return,0.0025463382042748652,split_002_2015-06-30_2017-09-27,23
ticker_EFA,Asset indicator: EFA,0.0018686440301533993,split_002_2015-06-30_2017-09-27,24
ticker_SPY,Asset indicator: SPY,0.0013391913993581377,split_002_2015-06-30_2017-09-27,25
ret_std_60,60-day return volatility,0.016368485529158937,split_003_2015-09-29_2017-12-27,1
macd_signal_9,MACD signal (9),0.012952164734416014,split_003_2015-09-29_2017-12-27,2
macd_12_26,"MACD (12, 26)",0.012330094214837013,split_003_2015-09-29_2017-12-27,3
ret_std_20,20-day return volatility,0.011753740874438768,split_003_2015-09-29_2017-12-27,4
volume_chg,Volume change,0.009731911377869319,split_003_2015-09-29_2017-12-27,5
ticker_IWM,Asset indicator: IWM,0.009425970993890297,split_003_2015-09-29_2017-12-27,6
ret_mean_10,10-day average return,0.008897356624398436,split_003_2015-09-29_2017-12-27,7
ret_mean_60,60-day average return,0.008224739359186477,split_003_2015-09-29_2017-12-27,8
volume_roll_mean_20,20-day average volume,0.007877288334697608,split_003_2015-09-29_2017-12-27,9
ret_std_5,5-day return volatility,0.007827296354722034,split_003_2015-09-29_2017-12-27,10
mom_5,5-day momentum,0.007398613856687424,split_003_2015-09-29_2017-12-27,11
mom_10,10-day momentum,0.006968121522463587,split_003_2015-09-29_2017-12-27,12
log_return_1,1-day log return,0.00660284512342201,split_003_2015-09-29_2017-12-27,13
ret_std_10,10-day return volatility,0.006569431743136208,split_003_2015-09-29_2017-12-27,14
rsi_14,14-day RSI,0.006338448670323457,split_003_2015-09-29_2017-12-27,15
volume,Trading volume,0.005870035401861313,split_003_2015-09-29_2017-12-27,16
ret_mean_5,5-day average return,0.0057309907334441605,split_003_2015-09-29_2017-12-27,17
simple_return_1,1-day simple return,0.0056603879673939,split_003_2015-09-29_2017-12-27,18
mom_20,20-day momentum,0.005570639064407275,split_003_2015-09-29_2017-12-27,19
mom_60,60-day momentum,0.005516497514064645,split_003_2015-09-29_2017-12-27,20
ticker_SPY,Asset indicator: SPY,0.004690780309024152,split_003_2015-09-29_2017-12-27,21
ret_mean_20,20-day average return,0.004680651580544736,split_003_2015-09-29_2017-12-27,22
macd_hist,MACD histogram,0.004561729136006105,split_003_2015-09-29_2017-12-27,23
ticker_TLT,Asset indicator: TLT,0.004109177999378546,split_003_2015-09-29_2017-12-27,24
ticker_EFA,Asset indicator: EFA,0.0029816073655355036,split_003_2015-09-29_2017-12-27,25
mom_10,10-day momentum,0.03969492042925572,split_004_2015-12-29_2018-03-29,1
macd_hist,MACD histogram,0.031511424833267916,split_004_2015-12-29_2018-03-29,2
volume,Trading volume,0.030083766995002356,split_004_2015-12-29_2018-03-29,3
mom_20,20-day momentum,0.02956008166867418,split_004_2015-12-29_2018-03-29,4
ret_mean_5,5-day average return,0.02779987970001738,split_004_2015-12-29_2018-03-29,5
mom_5,5-day momentum,0.027767778679135074,split_004_2015-12-29_2018-03-29,6
ret_mean_10,10-day average return,0.027525929471939742,split_004_2015-12-29_2018-03-29,7
ret_std_20,20-day return volatility,0.02480344062771509,split_004_2015-12-29_2018-03-29,8
ret_mean_20,20-day average return,0.024314648852961866,split_004_2015-12-29_2018-03-29,9
log_return_1,1-day log return,0.02338460729764093,split_004_2015-12-29_2018-03-29,10
volume_roll_mean_20,20-day average volume,0.020706071690736693,split_004_2015-12-29_2018-03-29,11
rsi_14,14-day RSI,0.02051079463357072,split_004_2015-12-29_2018-03-29,12
macd_signal_9,MACD signal (9),0.020152887495327364,split_004_2015-12-29_2018-03-29,13
ret_std_5,5-day return volatility,0.01943122579127444,split_004_2015-12-29_2018-03-29,14
ret_std_10,10-day return volatility,0.019307172479466686,split_004_2015-12-29_2018-03-29,15
simple_return_1,1-day simple return,0.01732832740952556,split_004_2015-12-29_2018-03-29,16
macd_12_26,"MACD (12, 26)",0.016762768727636372,split_004_2015-12-29_2018-03-29,17
ret_mean_60,60-day average return,0.015748669016726287,split_004_2015-12-29_2018-03-29,18
ret_std_60,60-day return volatility,0.01567366643534636,split_004_2015-12-29_2018-03-29,19
ticker_SPY,Asset indicator: SPY,0.014630687629498306,split_004_2015-12-29_2018-03-29,20
mom_60,60-day momentum,0.014528738721879578,split_004_2015-12-29_2018-03-29,21
ticker_EFA,Asset indicator: EFA,0.013842097477659932,split_004_2015-12-29_2018-03-29,22
volume_chg,Volume change,0.011952244329651461,split_004_2015-12-29_2018-03-29,23
ticker_TLT,Asset indicator: TLT,0.010920724256669099,split_004_2015-12-29_2018-03-29,24
ticker_IWM,Asset indicator: IWM,0.007703944266079527,split_004_2015-12-29_2018-03-29,25
macd_signal_9,MACD signal (9),0.009973123123927508,split_005_2016-03-31_2018-06-28,1
ret_std_20,20-day return volatility,0.006358477169522948,split_005_2016-03-31_2018-06-28,2
mom_60,60-day momentum,0.005824277049933082,split_005_2016-03-31_2018-06-28,3
mom_20,20-day momentum,0.005628113371893696,split_005_2016-03-31_2018-06-28,4
ret_mean_10,10-day average return,0.0055813635675393365,split_005_2016-03-31_2018-06-28,5
mom_10,10-day momentum,0.005205623447123329,split_005_2016-03-31_2018-06-28,6
ret_mean_20,20-day average return,0.005188743464303468,split_005_2016-03-31_2018-06-28,7
ret_std_60,60-day return volatility,0.005068826835082151,split_005_2016-03-31_2018-06-28,8
volume_roll_mean_20,20-day average volume,0.005048886018929836,split_005_2016-03-31_2018-06-28,9
ret_std_10,10-day return volatility,0.004985319745573648,split_005_2016-03-31_2018-06-28,10
rsi_14,14-day RSI,0.004776051203891491,split_005_2016-03-31_2018-06-28,11
macd_hist,MACD histogram,0.004549329949059616,split_005_2016-03-31_2018-06-28,12
ret_mean_60,60-day average return,0.004392318404796008,split_005_2016-03-31_2018-06-28,13
simple_return_1,1-day simple return,0.004210761367088004,split_005_2016-03-31_2018-06-28,14
ret_mean_5,5-day average return,0.004170874247715654,split_005_2016-03-31_2018-06-28,15
macd_12_26,"MACD (12, 26)",0.0041203225566512685,split_005_2016-03-31_2018-06-28,16
mom_5,5-day momentum,0.00402404713134186,split_005_2016-03-31_2018-06-28,17
ret_std_5,5-day return volatility,0.003996357231706556,split_005_2016-03-31_2018-06-28,18
volume,Trading volume,0.003892182632508564,split_005_2016-03-31_2018-06-28,19
log_return_1,1-day log return,0.0038617076457839058,split_005_2016-03-31_2018-06-28,20
volume_chg,Volume change,0.003620187282884276,split_005_2016-03-31_2018-06-28,21
ticker_SPY,Asset indicator: SPY,0.0030017169606106754,split_005_2016-03-31_2018-06-28,22
ticker_TLT,Asset indicator: TLT,0.0029287887979784675,split_005_2016-03-31_2018-06-28,23
ticker_IWM,Asset indicator: IWM,0.0025556849494852295,split_005_2016-03-31_2018-06-28,24
ticker_EFA,Asset indicator: EFA,0.0020642895704939645,split_005_2016-03-31_2018-06-28,25
rsi_14,14-day RSI,0.023585392901748683,split_006_2016-06-29_2018-09-27,1
ret_mean_10,10-day average return,0.02142196942074177,split_006_2016-06-29_2018-09-27,2
mom_20,20-day momentum,0.02016590261842882,split_006_2016-06-29_2018-09-27,3
macd_12_26,"MACD (12, 26)",0.017717732499543826,split_006_2016-06-29_2018-09-27,4
mom_10,10-day momentum,0.016841996115101388,split_006_2016-06-29_2018-09-27,5
log_return_1,1-day log return,0.01625449963975688,split_006_2016-06-29_2018-09-27,6
ret_mean_5,5-day average return,0.015539835302284123,split_006_2016-06-29_2018-09-27,7
ret_std_10,10-day return volatility,0.014283538508636884,split_006_2016-06-29_2018-09-27,8
simple_return_1,1-day simple return,0.014081699910019506,split_006_2016-06-29_2018-09-27,9
ret_mean_60,60-day average return,0.01391250471011532,split_006_2016-06-29_2018-09-27,10
macd_signal_9,MACD signal (9),0.013099553265227422,split_006_2016-06-29_2018-09-27,11
mom_60,60-day momentum,0.012734510935562009,split_006_2016-06-29_2018-09-27,12
mom_5,5-day momentum,0.010858028541228922,split_006_2016-06-29_2018-09-27,13
macd_hist,MACD histogram,0.009860904518551783,split_006_2016-06-29_2018-09-27,14
volume_roll_mean_20,20-day average volume,0.009589634380824826,split_006_2016-06-29_2018-09-27,15
volume_chg,Volume change,0.008909925340418798,split_006_2016-06-29_2018-09-27,16
ret_std_60,60-day return volatility,0.008650789749325911,split_006_2016-06-29_2018-09-27,17
ret_mean_20,20-day average return,0.008283594606792776,split_006_2016-06-29_2018-09-27,18
ticker_TLT,Asset indicator: TLT,0.008262512347408015,split_006_2016-06-29_2018-09-27,19
ret_std_5,5-day return volatility,0.007638550241919314,split_006_2016-06-29_2018-09-27,20
volume,Trading volume,0.007025275704352946,split_006_2016-06-29_2018-09-27,21
ret_std_20,20-day return volatility,0.00647259762402287,split_006_2016-06-29_2018-09-27,22
ticker_EFA,Asset indicator: EFA,0.006271750289285807,split_006_2016-06-29_2018-09-27,23
ticker_SPY,Asset indicator: SPY,0.0061051595155554314,split_006_2016-06-29_2018-09-27,24
ticker_IWM,Asset indicator: IWM,0.005629663301019681,split_006_2016-06-29_2018-09-27,25
macd_signal_9,MACD signal (9),0.021320549467433367,split_007_2016-09-28_2018-12-28,1
ret_std_20,20-day return volatility,0.018782648059432624,split_007_2016-09-28_2018-12-28,2
ret_mean_60,60-day average return,0.017781326289743864,split_007_2016-09-28_2018-12-28,3
mom_20,20-day momentum,0.016890384172927684,split_007_2016-09-28_2018-12-28,4
ret_std_60,60-day return volatility,0.016455920933009616,split_007_2016-09-28_2018-12-28,5
ret_mean_10,10-day average return,0.01543359638747118,split_007_2016-09-28_2018-12-28,6
ret_mean_20,20-day average return,0.01540098560245929,split_007_2016-09-28_2018-12-28,7
ret_std_10,10-day return volatility,0.014347870714297389,split_007_2016-09-28_2018-12-28,8
ret_std_5,5-day return volatility,0.014233396981819437,split_007_2016-09-28_2018-12-28,9
mom_5,5-day momentum,0.013853792354849083,split_007_2016-09-28_2018-12-28,10
log_return_1,1-day log return,0.013485465262211158,split_007_2016-09-28_2018-12-28,11
mom_60,60-day momentum,0.012416798351907465,split_007_2016-09-28_2018-12-28,12
macd_12_26,"MACD (12, 26)",0.0116659776309372,split_007_2016-09-28_2018-12-28,13
mom_10,10-day momentum,0.009771957550792201,split_007_2016-09-28_2018-12-28,14
volume,Trading volume,0.009261582893397317,split_007_2016-09-28_2018-12-28,15
ret_mean_5,5-day average return,0.008588016557876502,split_007_2016-09-28_2018-12-28,16
rsi_14,14-day RSI,0.00836406645993386,split_007_2016-09-28_2018-12-28,17
macd_hist,MACD histogram,0.008052367229955977,split_007_2016-09-28_2018-12-28,18
simple_return_1,1-day simple return,0.007884806367760351,split_007_2016-09-28_2018-12-28,19
volume_roll_mean_20,20-day average volume,0.007619060371457151,split_007_2016-09-28_2018-12-28,20
volume_chg,Volume change,0.004904361261651502,split_007_2016-09-28_2018-12-28,21
ticker_IWM,Asset indicator: IWM,0.004492147440688597,split_007_2016-09-28_2018-12-28,22
ticker_TLT,Asset indicator: TLT,0.004462903135793225,split_007_2016-09-28_2018-12-28,23
ticker_SPY,Asset indicator: SPY,0.003333077349538382,split_007_2016-09-28_2018-12-28,24
ticker_EFA,Asset indicator: EFA,0.002707700283788087,split_007_2016-09-28_2018-12-28,25
macd_signal_9,MACD signal (9),0.018036280410745006,split_008_2016-12-28_2019-04-01,1
mom_20,20-day momentum,0.01759762105641249,split_008_2016-12-28_2019-04-01,2
ret_std_10,10-day return volatility,0.014670327060938406,split_008_2016-12-28_2019-04-01,3
ret_std_60,60-day return volatility,0.014615612744282622,split_008_2016-12-28_2019-04-01,4
ret_mean_10,10-day average return,0.01393104964944407,split_008_2016-12-28_2019-04-01,5
mom_10,10-day momentum,0.011749331395443001,split_008_2016-12-28_2019-04-01,6
macd_12_26,"MACD (12, 26)",0.011239231377017024,split_008_2016-12-28_2019-04-01,7
ret_mean_20,20-day average return,0.010810598255956707,split_008_2016-12-28_2019-04-01,8
ret_std_5,5-day return volatility,0.010001294669355495,split_008_2016-12-28_2019-04-01,9
mom_60,60-day momentum,0.009520049138596047,split_008_2016-12-28_2019-04-01,10
macd_hist,MACD histogram,0.008266262030865917,split_008_2016-12-28_2019-04-01,11
ret_std_20,20-day return volatility,0.008213218501146376,split_008_2016-12-28_2019-04-01,12
rsi_14,14-day RSI,0.008162730699317106,split_008_2016-12-28_2019-04-01,13
mom_5,5-day momentum,0.007791413143676153,split_008_2016-12-28_2019-04-01,14
ret_mean_60,60-day average return,0.00764737532953121,split_008_2016-12-28_2019-04-01,15
volume,Trading volume,0.007385057158123837,split_008_2016-12-28_2019-04-01,16
volume_roll_mean_20,20-day average volume,0.006269023395466096,split_008_2016-12-28_2019-04-01,17
