feature,feature_label,top3_count,avg_top3_rank
ret_mean_10,10-day average return,9,2.0
macd_signal_9,MACD signal (9),8,2.0
ret_std_20,20-day return volatility,7,1.7142857142857142
ret_std_60,60-day return volatility,7,1.7142857142857142
ret_mean_60,60-day average return,7,1.8571428571428572
mom_20,20-day momentum,7,2.2857142857142856
mom_10,10-day momentum,6,1.6666666666666667
rsi_14,14-day RSI,6,1.8333333333333333
mom_60,60-day momentum,6,1.8333333333333333
ret_std_10,10-day return volatility,6,2.3333333333333335
macd_12_26,"MACD (12, 26)",5,1.8
ret_mean_20,20-day average return,5,2.2
mom_5,5-day momentum,4,1.75
log_return_1,1-day log return,4,2.0
ret_mean_5,5-day average return,3,2.3333333333333335
macd_hist,MACD histogram,3,2.6666666666666665
volume_chg,Volume change,2,1.5
volume_roll_mean_20,20-day average volume,2,2.5
simple_return_1,1-day simple return,2,3.0
volume,Trading volume,2,3.0
ret_std_5,5-day return volatility,1,1.0
