feature,mean_abs_weight,count_appears
-0.67 < 20-day average Trading volume <= -0.39,2.3077730813001818,1
-0.51 < 20-day average return <= 0.13,2.2548303392564737,1
Volume change > 0.47,2.2449288793168862,1
5-day return volatility > 0.35,2.133557356430031,1
Asset indicator: IWM > 0.25,2.112827733480714,1
-0.48 < 5-day average return <= 0.09,2.0746169459124713,1
60-day average return <= -0.48,2.033418998514533,1
-0.38 < Trading volume <= 0.34,2.0167663806831597,1
10-day return volatility > 0.31,1.2026317242494815,2
0.11 < 10-day momentum <= 0.60,1.2002230266777578,2
5-day average return <= -0.48,0.07516218864674759,1
MACD signal (9) > 0.49,0.03970546483827506,2
60-day momentum > 0.62,0.037456936188300045,1
60-day average return > 0.62,0.0350810746795496,1
"MACD (12, 26) > 0.53",0.02888268440696998,1
20-day average return > 0.61,0.02845419737720333,1
0.09 < 5-day average return <= 0.60,0.024758910790373255,1
5-day momentum <= -0.49,0.019944660465739693,1
20-day average return <= -0.51,0.016759861391477227,1
1-day simple return <= -0.47,0.013777690545235317,1
20-day return volatility > 0.30,0.013205060431633978,1
0.12 < 60-day momentum <= 0.62,0.013058455200802923,1
0.15 < 60-day average return <= 0.62,0.012355989079265495,1
Asset indicator: SPY <= 0.00,0.011819420265987183,1
20-day average Trading volume <= -0.67,0.011506865262931102,1
0.12 < 10-day average return <= 0.61,0.011451040835733294,1
10-day average return <= -0.51,0.011032918126028883,1
