feature,feature_label,mean_abs_shap
log_return_1,1-day log return,0.008677001309283809
macd_12_26,"MACD (12, 26)",0.008392309229402449
mom_20,20-day momentum,0.007566886412822603
ret_std_10,10-day return volatility,0.006452520678638484
ret_std_60,60-day return volatility,0.006158933804223381
simple_return_1,1-day simple return,0.0051813021318518945
ret_mean_10,10-day average return,0.005154633510524825
rsi_14,14-day RSI,0.004992874075484478
ret_std_5,5-day return volatility,0.004947166978359926
mom_10,10-day momentum,0.004394349615748912
volume_chg,Volume change,0.004271068442855068
ret_std_20,20-day return volatility,0.004081069876482322
ret_mean_60,60-day average return,0.0039010227960753876
volume,Trading volume,0.0037243763051851265
volume_roll_mean_20,20-day average volume,0.0032831687602775063
mom_60,60-day momentum,0.0029765195609752857
mom_5,5-day momentum,0.002955113134618864
ret_mean_5,5-day average return,0.002746499062753677
macd_hist,MACD histogram,0.0025909001726913553
macd_signal_9,MACD signal (9),0.0025552773184034407
ret_mean_20,20-day average return,0.0025486758344759586
ticker_SPY,Asset indicator: SPY,0.002051543237751856
ticker_EFA,Asset indicator: EFA,0.0019950277794033196
ticker_TLT,Asset indicator: TLT,0.001913465370255061
ticker_IWM,Asset indicator: IWM,0.0014142338625352442
